legacy_product_id,family_stable_id,family_name,scientific_scope
DP000001,PF000001,PRODES,Inventários anuais de supressão de vegetação nativa organizados por bioma e release.
DP000002,PF000002,DETER Amazônia,Série operacional de avisos de alteração da cobertura vegetal na Amazônia.
DP000003,PF000003,DETER Cerrado,Série operacional de avisos de alteração da cobertura vegetal no Cerrado.
DP000004,PF000004,DETER Pantanal,Série experimental de avisos de alteração da cobertura vegetal no Pantanal.
DP000006,PF000005,Vegetação secundária por bioma,Mapeamentos de vegetação secundária com definições métodos períodos e coberturas próprios por bioma e edição.
